DATE,MONTH,DAY,LAPS,TIME,CONDITION_CATEGORY,CUMULATIVE_TIME,AVG_PACE_MIN_KM,AVG_HR_BPM,MAX_HR_BPM,TOTAL_ASCENT_M,TOTAL_DESCENT_M,AVG_RUN_CADENCE_SPM,AVG_STRIDE_LENGTH_M,CALORIES_C,BEST_PACE_MIN_KM,MAX_RUN_CADENCE_SPM,MOVING_TIME,AVG_MOVING_PACE_MIN_KM
2026-06-18,6,18,3.0,7.6,0,33.58,7.6,144.0,154.0,15.0,29.0,161.0,0.82,70.0,5.966666666666667,169.0,7.6,7.6
2026-06-21,6,21,3.0,6.416666666666667,1,21.32,6.433333333333334,172.0,174.0,2.0,0.0,162.0,0.96,77.0,5.766666666666667,169.0,6.416666666666667,6.416666666666667
2026-04-30,4,30,4.0,8.083333333333334,0,43.86,8.083333333333334,158.0,165.0,4.0,5.0,157.0,0.79,79.0,6.9,169.0,8.083333333333334,8.083333333333334
2026-05-03,5,3,4.0,8.916666666666666,0,40.4,8.916666666666666,151.0,163.0,35.0,20.0,156.0,0.72,88.0,7.5,181.0,8.916666666666666,8.916666666666666
2026-05-10,5,10,4.0,6.783333333333333,1,32.82,6.783333333333333,174.0,178.0,0.0,2.0,163.0,0.91,77.0,6.583333333333333,167.0,6.783333333333333,6.783333333333333
2026-05-17,5,17,4.0,7.533333333333333,0,40.28,7.533333333333333,149.0,162.0,10.0,16.0,161.0,0.82,72.0,6.183333333333334,169.0,7.533333333333333,7.533333333333333
2026-05-24,5,24,4.0,7.45,0,35.98,7.466666666666667,156.0,161.0,49.0,45.0,161.0,0.83,75.0,5.316666666666666,177.0,7.45,7.466666666666667
2026-06-07,6,7,4.0,6.35,0,34.1,6.366666666666666,169.0,175.0,3.0,0.0,168.0,0.94,76.0,5.65,178.0,6.35,6.35
2026-06-10,6,10,4.0,6.766666666666667,0,37.72,6.766666666666667,158.0,162.0,21.0,20.0,166.0,0.89,74.0,5.416666666666667,174.0,6.766666666666667,6.766666666666667
2026-06-12,6,12,4.0,7.716666666666667,0,37.02,7.733333333333333,149.0,157.0,45.0,46.0,161.0,0.8,72.0,6.333333333333333,170.0,7.716666666666667,7.733333333333333
2026-06-14,6,14,4.0,7.866666666666666,0,43.48,7.866666666666666,134.0,156.0,4.0,0.0,150.0,0.85,68.0,5.416666666666667,176.0,7.866666666666666,7.866666666666666
2026-06-16,6,16,4.0,8.233333333333333,0,47.38,8.233333333333333,142.0,152.0,3.0,5.0,155.0,0.79,72.0,6.983333333333333,167.0,8.233333333333333,8.233333333333333
2026-06-18,6,18,4.0,7.566666666666666,0,42.66,7.566666666666666,147.0,158.0,43.0,42.0,160.0,0.83,73.0,6.0,174.0,7.566666666666666,7.566666666666666
2026-06-21,6,21,4.0,7.133333333333334,1,29.88,7.133333333333334,165.0,175.0,2.0,8.0,149.0,0.94,81.0,5.583333333333333,173.0,6.8,6.8
2026-04-30,4,30,5.0,8.916666666666666,0,54.56,8.916666666666666,156.0,161.0,4.0,3.0,154.0,0.73,91.0,7.733333333333333,165.0,8.916666666666666,8.916666666666666
2026-05-03,5,3,5.0,7.616666666666666,0,49.54,7.616666666666666,158.0,166.0,28.0,36.0,162.0,0.81,73.0,6.9,169.0,7.616666666666666,7.616666666666666
2026-05-10,5,10,5.0,8.65,1,43.2,8.65,165.0,180.0,3.0,0.0,131.0,0.88,95.0,6.35,176.0,7.616666666666666,7.616666666666666
2026-05-17,5,17,5.0,8.316666666666666,0,50.28,8.333333333333334,149.0,157.0,15.0,12.0,157.0,0.77,73.0,7.383333333333334,165.0,8.316666666666666,8.333333333333334
2026-05-24,5,24,5.0,7.816666666666666,0,45.36,7.833333333333333,154.0,160.0,28.0,32.0,159.0,0.8,75.0,6.733333333333333,167.0,7.816666666666666,7.816666666666666
2026-06-07,6,7,5.0,7.633333333333334,0,43.28,7.65,166.0,179.0,44.0,47.0,154.0,0.85,88.0,5.7,173.0,7.633333333333334,7.633333333333334
